1783395371,19,-1,64,PC1-J
1783395469,20,-1,64,PC2-J
1783395720,20,-1,64,PC2-J
1783395741,19,1.03,0,PC1-J
1783395752,20,0.742,0,PC2-J
1783395821,19,0.705,0,PC1-J
1783395831,20,0.981,0,PC2-J
1783395835,19,1.01,0,PC1-J
1783395840,20,0.736,0,PC2-J
1783395846,20,1.1,0,PC2-J
1783395849,19,1.02,0,PC1-J
1783395854,20,0.988,0,PC2-J
1783395858,19,0.764,0,PC1-J
1783395861,20,0.944,0,PC2-J
1783395865,19,0.992,0,PC1-J
1783395869,20,0.994,0,PC2-J
1783395873,19,0.827,0,PC1-J
1783395877,20,0.863,0,PC2-J
1783395881,19,0.754,0,PC1-J
1783395885,20,0.969,0,PC2-J
1783399943,11,1.33,3,PC1-F
1783399943,12,1.53,3,PC2-F
1783399943,18,0.746,0,PC2-I
1783399943,19,1.58,3,PC1-J
1783399943,20,1.32,3,PC2-J
1783400003,11,1.53,3,PC1-F
1783400003,12,1.53,3,PC2-F
1783400003,17,0.895,0,PC1-I
1783400003,19,1.57,3,PC1-J
1783400003,20,1.53,3,PC2-J
1783400057,11,1.6,3,PC1-F
1783400057,12,1.35,3,PC2-F
1783400057,17,1.62,3,PC1-I
1783400057,18,1.33,3,PC2-I
1783400057,20,0.84,0,PC2-J
1783400088,11,1.57,3,PC1-F
1783400088,12,1.57,3,PC2-F
1783400088,17,1.58,3,PC1-I
1783400088,18,1.56,3,PC2-I
1783400088,19,0.978,0,PC1-J
1783400133,12,1,0,PC2-F
1783400133,17,1.63,3,PC1-I
1783400133,18,1.53,3,PC2-I
1783400133,19,1.55,3,PC1-J
1783400133,20,1.37,3,PC2-J
1783400173,11,0.807,0,PC1-F
1783400173,17,1.55,3,PC1-I
1783400173,18,1.53,3,PC2-I
1783400173,19,1.58,3,PC1-J
1783400173,20,1.27,3,PC2-J
1783400352,11,1.35,3,PC1-F
1783400352,12,1.57,3,PC2-F
1783400352,18,0.759,0,PC2-I
1783400352,19,1.57,3,PC1-J
1783400352,20,1.66,3,PC2-J
1783400363,11,1.52,3,PC1-F
1783400363,12,1.39,3,PC2-F
1783400363,17,1.01,0,PC1-I
1783400363,19,1.54,3,PC1-J
1783400363,20,1.32,3,PC2-J
1783400373,11,1.56,3,PC1-F
1783400373,12,1.47,3,PC2-F
1783400373,17,1.56,3,PC1-I
1783400373,18,1.56,3,PC2-I
1783400373,20,0.943,0,PC2-J
1783400376,11,1.57,3,PC1-F
1783400376,12,1.5,3,PC2-F
1783400376,17,1.4,3,PC1-I
1783400376,18,1.54,3,PC2-I
1783400376,19,0.468,0,PC1-J
1783400379,11,0.852,0,PC1-F
1783400379,17,1.56,3,PC1-I
1783400379,18,1.58,3,PC2-I
1783400379,19,1.6,3,PC1-J
1783400379,20,1.57,3,PC2-J
1783400381,12,0.84,0,PC2-F
1783400381,17,1.59,3,PC1-I
1783400381,18,1.35,3,PC2-I
1783400381,19,1.31,3,PC1-J
1783400381,20,1.32,3,PC2-J
